[Epoch 1] Batch 34500/44996 | Loss: 0.0000
[Epoch 1] Batch 34600/44996 | Loss: 0.0000
[Epoch 1] Batch 34700/44996 | Loss: 0.0000
[Epoch 1] Batch 34800/44996 | Loss: 0.0001
[Epoch 1] Batch 34900/44996 | Loss: 0.0000
[Epoch 1] Batch 35000/44996 | Loss: 0.0000
[Epoch 1] Batch 35100/44996 | Loss: 0.0000
[Epoch 1] Batch 35200/44996 | Loss: 0.0000
[Epoch 1] Batch 35300/44996 | Loss: 0.0000
[Epoch 1] Batch 35400/44996 | Loss: 0.0000
[Epoch 1] Batch 35500/44996 | Loss: 0.0000
[Epoch 1] Batch 35600/44996 | Loss: 0.0000
[Epoch 1] Batch 35700/44996 | Loss: 0.0000
[Epoch 1] Batch 35800/44996 | Loss: 0.0000
[Epoch 1] Batch 35900/44996 | Loss: 0.0000
[Epoch 1] Batch 36000/44996 | Loss: 0.0000
[Epoch 1] Batch 36100/44996 | Loss: 0.0001
[Epoch 1] Batch 36200/44996 | Loss: 0.0000
[Epoch 1] Batch 36300/44996 | Loss: 0.0000
[Epoch 1] Batch 36400/44996 | Loss: 0.0000
[Epoch 1] Batch 36500/44996 | Loss: 0.0000
[Epoch 1] Batch 36600/44996 | Loss: 0.0000
[Epoch 1] Batch 36700/44996 | Loss: 0.0001
[Epoch 1] Batch 36800/44996 | Loss: 0.0000
[Epoch 1] Batch 36900/44996 | Loss: 0.0000
[Epoch 1] Batch 37000/44996 | Loss: 0.0000
[Epoch 1] Batch 37100/44996 | Loss: 0.0000
[Epoch 1] Batch 37200/44996 | Loss: 0.0000
[Epoch 1] Batch 37300/44996 | Loss: 0.0000
[Epoch 1] Batch 37400/44996 | Loss: 0.0000
[Epoch 1] Batch 37500/44996 | Loss: 0.0000
[Epoch 1] Batch 37600/44996 | Loss: 0.0000
[Epoch 1] Batch 37700/44996 | Loss: 0.0000
[Epoch 1] Batch 37800/44996 | Loss: 0.0000
[Epoch 1] Batch 37900/44996 | Loss: 0.0000
[Epoch 1] Batch 38000/44996 | Loss: 0.0000
[Epoch 1] Batch 38100/44996 | Loss: 0.0000
[Epoch 1] Batch 38200/44996 | Loss: 0.0000
[Epoch 1] Batch 38300/44996 | Loss: 0.0000
[Epoch 1] Batch 38400/44996 | Loss: 0.0000
[Epoch 1] Batch 38500/44996 | Loss: 0.0000
[Epoch 1] Batch 38600/44996 | Loss: 0.0000
[Epoch 1] Batch 38700/44996 | Loss: 0.0000
[Epoch 1] Batch 38800/44996 | Loss: 0.0000
[Epoch 1] Batch 38900/44996 | Loss: 0.0000
[Epoch 1] Batch 39000/44996 | Loss: 0.0000
[Epoch 1] Batch 39100/44996 | Loss: 0.0000
[Epoch 1] Batch 39200/44996 | Loss: 0.0000
[Epoch 1] Batch 39300/44996 | Loss: 0.0000
[Epoch 1] Batch 39400/44996 | Loss: 0.0000
[Epoch 1] Batch 39500/44996 | Loss: 0.0000
[Epoch 1] Batch 39600/44996 | Loss: 0.0000
[Epoch 1] Batch 39700/44996 | Loss: 0.0000
[Epoch 1] Batch 39800/44996 | Loss: 0.0000
[Epoch 1] Batch 39900/44996 | Loss: 0.0000
[Epoch 1] Batch 40000/44996 | Loss: 0.0000
[Epoch 1] Batch 40100/44996 | Loss: 0.0000
[Epoch 1] Batch 40200/44996 | Loss: 0.0000
[Epoch 1] Batch 40300/44996 | Loss: 0.0000
[Epoch 1] Batch 40400/44996 | Loss: 0.0000
[Epoch 1] Batch 40500/44996 | Loss: 0.0000
[Epoch 1] Batch 40600/44996 | Loss: 0.0000
[Epoch 1] Batch 40700/44996 | Loss: 0.0000
[Epoch 1] Batch 40800/44996 | Loss: 0.0000
[Epoch 1] Batch 40900/44996 | Loss: 0.0000
[Epoch 1] Batch 41000/44996 | Loss: 0.0000
[Epoch 1] Batch 41100/44996 | Loss: 0.0000
[Epoch 1] Batch 41200/44996 | Loss: 0.0000
[Epoch 1] Batch 41300/44996 | Loss: 0.0000
[Epoch 1] Batch 41400/44996 | Loss: 0.0000
[Epoch 1] Batch 41500/44996 | Loss: 0.0000
[Epoch 1] Batch 41600/44996 | Loss: 0.0000
[Epoch 1] Batch 41700/44996 | Loss: 0.0000
[Epoch 1] Batch 41800/44996 | Loss: 0.0000
[Epoch 1] Batch 41900/44996 | Loss: 0.0000
[Epoch 1] Batch 42000/44996 | Loss: 0.0000
[Epoch 1] Batch 42100/44996 | Loss: 0.0000
[Epoch 1] Batch 42200/44996 | Loss: 0.0000
[Epoch 1] Batch 42300/44996 | Loss: 0.0000
[Epoch 1] Batch 42400/44996 | Loss: 0.0000
[Epoch 1] Batch 42500/44996 | Loss: 0.0000
[Epoch 1] Batch 42600/44996 | Loss: 0.0000
[Epoch 1] Batch 42700/44996 | Loss: 0.0000
[Epoch 1] Batch 42800/44996 | Loss: 0.0000
[Epoch 1] Batch 42900/44996 | Loss: 0.0000
[Epoch 1] Batch 43000/44996 | Loss: 0.0000
[Epoch 1] Batch 43100/44996 | Loss: 0.0000
[Epoch 1] Batch 43200/44996 | Loss: 0.0000
[Epoch 1] Batch 43300/44996 | Loss: 0.0000
[Epoch 1] Batch 43400/44996 | Loss: 0.0000
[Epoch 1] Batch 43500/44996 | Loss: 0.0000
[Epoch 1] Batch 43600/44996 | Loss: 0.0000
